Comment,Designator,Footprint,LCSC
"100n","C1,C2,C3,C6,C7,C8","Capacitor_SMD:C_0402_1005Metric",""
"1u","C4","Capacitor_SMD:C_0805_2012Metric",""
"10u","C5","Capacitor_SMD:C_0805_2012Metric",""
"ESD5Z5.0","D1,D2,D3,D5,D7,D8,D9,D10","Diode_SMD:D_SOD-523",""
"LED","D4,D6","LED_SMD:LED_0402_1005Metric",""
"USB C","J1","wally:USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"HDMI_A","J2,J3","Connector_HDMI:HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal",""
"Debug","J4","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"HDMI Expansion","J5","Connector_PinHeader_1.27mm:PinHeader_1x08_P1.27mm_Vertical",""
"NDC7002N","Q1","Package_TO_SOT_SMD:SuperSOT-6",""
"AO3400A","Q4","Package_TO_SOT_SMD:SOT-23",""
"5k1","R1,R2","Resistor_SMD:R_0402_1005Metric",""
"40k","R10,R15","Resistor_SMD:R_0402_1005Metric",""
"60k","R11,R16","Resistor_SMD:R_0402_1005Metric",""
"27k","R14","Resistor_SMD:R_0402_1005Metric",""
"1k5","R17,R18","Resistor_SMD:R_0402_1005Metric",""
"100k","R3,R6,R7","Resistor_SMD:R_0402_1005Metric",""
"20k","R4,R5","Resistor_SMD:R_0402_1005Metric",""
"1k","R8,R9,R12","Resistor_SMD:R_0402_1005Metric",""
"STM32F042F6Px","U1","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"XC6206PxxxMR","U2","Package_TO_SOT_SMD:SOT-23",""
"AP2152","U3,U4","Package_SO:MSOP-8_3x3mm_P0.65mm",""
